Word,block,response,totcount,theword,proportion
Brush,category_organization,Form,29,빗,0.7586206896551724
Brush,category_organization,"Form, Color, Material",29,빗,0.06896551724137931
Brush,category_organization,"Form, Material",29,빗,0.13793103448275862
Brush,category_organization,Material,29,빗,0.034482758620689655
Brush,count_mass,Can be counted,30,빗,0.9666666666666667
Brush,count_mass,I don't know/It's hard to say,30,빗,0.03333333333333333
Brush,solidity,I don't know/It's hard to say,29,빗,0.034482758620689655
Brush,solidity,Solid,29,빗,0.9655172413793104
Bug,category_organization,Form,29,벌레,0.6206896551724138
Bug,category_organization,"Form, Color",29,벌레,0.06896551724137931
Bug,category_organization,"Form, Color, Material",29,벌레,0.06896551724137931
Bug,category_organization,"Form, Material",29,벌레,0.13793103448275862
Bug,category_organization,Material,29,벌레,0.034482758620689655
Bug,category_organization,Not applicable,29,벌레,0.06896551724137931
Bug,count_mass,Can be counted,36,벌레,0.6666666666666666
Bug,count_mass,Cannot be counted,36,벌레,0.1111111111111111
Bug,count_mass,I don't know/It's hard to say,36,벌레,0.2222222222222222
Bug,solidity,I don't know/It's hard to say,30,벌레,0.26666666666666666
Bug,solidity,Not a solid,30,벌레,0.1
Bug,solidity,Solid,30,벌레,0.6333333333333333
Bus,category_organization,Form,28,버스,0.5714285714285714
Bus,category_organization,"Form, Color",28,버스,0.07142857142857142
Bus,category_organization,"Form, Color, Material",28,버스,0.07142857142857142
Bus,category_organization,"Form, Material",28,버스,0.21428571428571427
Bus,category_organization,Material,28,버스,0.07142857142857142
Bus,count_mass,Can be counted,30,버스,0.9333333333333333
Bus,count_mass,I don't know/It's hard to say,30,버스,0.06666666666666667
Bus,solidity,I don't know/It's hard to say,30,버스,0.06666666666666667
Bus,solidity,Solid,30,버스,0.9333333333333333
Butt,category_organization,Form,29,엉덩이,0.8275862068965517
Butt,category_organization,"Form, Color, Material",29,엉덩이,0.034482758620689655
Butt,category_organization,"Form, Material",29,엉덩이,0.10344827586206896
Butt,category_organization,Material,29,엉덩이,0.034482758620689655
Butt,count_mass,Can be counted,37,엉덩이,0.6486486486486487
Butt,count_mass,Cannot be counted,37,엉덩이,0.02702702702702703
Butt,count_mass,I don't know/It's hard to say,37,엉덩이,0.32432432432432434
Butt,solidity,I don't know/It's hard to say,33,엉덩이,0.36363636363636365
Butt,solidity,Not a solid,33,엉덩이,0.09090909090909091
Butt,solidity,Solid,33,엉덩이,0.5454545454545454
Butterfly,category_organization,Form,29,나비,0.6896551724137931
Butterfly,category_organization,"Form, Color",29,나비,0.034482758620689655
Butterfly,category_organization,"Form, Color, Material",29,나비,0.10344827586206896
Butterfly,category_organization,"Form, Material",29,나비,0.13793103448275862
Butterfly,category_organization,Material,29,나비,0.034482758620689655
Butterfly,count_mass,Can be counted,36,나비,0.7222222222222222
Butterfly,count_mass,Cannot be counted,36,나비,0.08333333333333333
Butterfly,count_mass,I don't know/It's hard to say,36,나비,0.19444444444444445
Butterfly,solidity,I don't know/It's hard to say,29,나비,0.2413793103448276
