uni_lemma,response_norm,block,eng1,eng2,kor1,kor2
stairs,count,count_mass,0.42857142857142855,NA,0.875,0.8
stairs,solid,solidity,1,NA,0.75,0.875
star,count,count_mass,0.3333333333333333,NA,0.625,0.5588235294117647
stone,count,count_mass,0.75,NA,0.6666666666666666,0.75
stone,solid,solidity,1,NA,1,0.9655172413793104
strawberry,count,count_mass,1,NA,1,0.8787878787878788
strawberry,solid,solidity,0.7857142857142857,NA,1,0.7586206896551724
street,count,count_mass,0.6666666666666666,NA,0.8,NA
street,solid,solidity,0.42857142857142855,NA,0.375,NA
stroller,count,count_mass,0.8333333333333334,NA,1,0.8666666666666667
stroller,solid,solidity,1,NA,0.9090909090909092,0.875
sugar,count,count_mass,0.16666666666666666,NA,0.2,0.4411764705882353
sugar,solid,solidity,0.14285714285714285,NA,0.8571428571428571,0.5428571428571428
sun,count,count_mass,0.16666666666666666,NA,0.14285714285714285,NA
sweet potato,count,count_mass,1,NA,1,0.90625
sweet potato,solid,solidity,1,NA,1,0.8275862068965517
swing (object),count,count_mass,0.8333333333333334,NA,1,NA
swing (object),solid,solidity,0.8571428571428571,NA,0.75,NA
tangerine,count,count_mass,0.75,NA,1,0.8787878787878788
tangerine,solid,solidity,1,NA,0.75,0.7931034482758621
taxi,count,count_mass,0.3333333333333333,NA,1,0.9333333333333332
taxi,solid,solidity,0.8,NA,1,0.9333333333333332
telephone,count,count_mass,0.8,NA,0.8333333333333334,NA
telephone,solid,solidity,1,NA,0.5,NA
tiger,count,count_mass,0.8,NA,1,0.8055555555555556
tiger,solid,solidity,1,NA,0.6666666666666666,0.6551724137931034
tissue,count,count_mass,0.5714285714285714,NA,0.6666666666666666,NA
tissue,solid,solidity,0.5,NA,NA,NA
tomato,count,count_mass,0.8333333333333334,NA,1,0.90625
tomato,solid,solidity,0.8888888888888888,NA,0.8333333333333334,0.7931034482758621
tongue,count,count_mass,0.8571428571428571,NA,1,0.8055555555555556
tongue,solid,solidity,0.6666666666666666,NA,1,0.6551724137931034
tooth,count,count_mass,0.75,NA,1,NA
tooth,solid,solidity,1,NA,1,NA
toothbrush,count,count_mass,0.9,NA,1,0.9666666666666668
toothbrush,solid,solidity,1,NA,1,0.9655172413793104
toothpaste,count,count_mass,0.3333333333333333,NA,0.6666666666666666,0.7105263157894737
towel,count,count_mass,0.8888888888888888,NA,0.9166666666666666,0.8484848484848485
towel,solid,solidity,0.6666666666666666,NA,1,0.7666666666666667
toy (object),count,count_mass,0.8333333333333334,NA,1,NA
toy (object),solid,solidity,1,NA,1,NA
train,solid,solidity,1,NA,0.8,0.9032258064516128
trash,count,count_mass,0.16666666666666666,NA,NA,NA
trash,solid,solidity,0.2857142857142857,NA,0.6,NA
trash can,count,count_mass,0.8333333333333334,NA,1,0.9666666666666668
trash can,solid,solidity,1,NA,1,0.9655172413793104
tray,count,count_mass,1,NA,1,0.9666666666666668
tray,solid,solidity,0.8,NA,1,0.9655172413793104
tree,count,count_mass,0.875,NA,0.6666666666666666,0.7878787878787878
tree,solid,solidity,1,NA,1,0.7586206896551724
truck,count,count_mass,0.875,NA,1,0.9333333333333332
truck,solid,solidity,1,NA,1,0.9333333333333332
tummy,count,count_mass,0.42857142857142855,NA,1,NA
tummy,solid,solidity,0.5,NA,1,NA
turtle,count,count_mass,0.8333333333333334,NA,1,0.8055555555555556
turtle,solid,solidity,1,NA,0.9,0.6551724137931034
tv,count,count_mass,0.8571428571428571,NA,1,NA
tv,solid,solidity,1,NA,1,NA
umbrella,count,count_mass,0.8333333333333334,NA,1,0.9666666666666668
umbrella,solid,solidity,1,NA,0.75,0.9655172413793104
underpants,count,count_mass,0.6666666666666666,NA,1,NA
underpants,solid,solidity,0.4,NA,0.8571428571428571,NA
vacuum,count,count_mass,0.8571428571428571,NA,1,NA
vacuum,solid,solidity,0.42857142857142855,NA,1,NA
waist,count,count_mass,0.4444444444444444,NA,0.5,0.7027027027027027
waist,solid,solidity,0.5,NA,1,0.5806451612903226
wallet,count,count_mass,0.7142857142857143,NA,1,0.9666666666666668
wallet,solid,solidity,1,NA,1,0.9655172413793104
washing machine,count,count_mass,1,NA,0.8333333333333334,NA
washing machine,solid,solidity,1,NA,1,NA
watermelon,count,count_mass,0.6666666666666666,NA,1,0.90625
