uni_lemma,response_norm,block,proportion,sample
hammer,shape,category_organization,0.8333333333333334,eng1
hammer,count,count_mass,0.875,eng1
hand,shape,category_organization,0.7,eng1
hand,count,count_mass,0.5,eng1
hand,solid,solidity,1,eng1
hanger,shape,category_organization,0.7777777777777778,eng1
hanger,count,count_mass,0.8333333333333334,eng1
hanger,solid,solidity,1,eng1
hat,shape,category_organization,0.6,eng1
hat,count,count_mass,1,eng1
hat,solid,solidity,0.8888888888888888,eng1
head,shape,category_organization,0.3333333333333333,eng1
head,count,count_mass,0.8571428571428571,eng1
head,solid,solidity,1,eng1
helicopter,solid,solidity,1,eng1
helicopter,shape,category_organization,0.5,eng1
helicopter,count,count_mass,1,eng1
hip,shape,category_organization,0.5,eng1
hip,count,count_mass,0.7142857142857143,eng1
hip,solid,solidity,1,eng1
hippopotamus,shape,category_organization,0.5,eng1
hippopotamus,count,count_mass,0.75,eng1
hippopotamus,solid,solidity,0.6666666666666666,eng1
horse,shape,category_organization,0.4,eng1
horse,count,count_mass,0.875,eng1
horse,solid,solidity,0.875,eng1
hot dog,shape,category_organization,0.3,eng1
hot dog,count,count_mass,1,eng1
hot dog,solid,solidity,0.875,eng1
ice,count,count_mass,0.18181818181818185,eng1
ice,solid,solidity,0.7777777777777778,eng1
ice cream,count,count_mass,0.5,eng1
ice cream,shape,category_organization,0.18181818181818185,eng1
jacket,shape,category_organization,0.3636363636363637,eng1
jacket,count,count_mass,0.8,eng1
jacket,solid,solidity,0.7142857142857143,eng1
juice,shape,category_organization,0.08333333333333333,eng1
key,shape,category_organization,0.75,eng1
key,count,count_mass,1,eng1
key,solid,solidity,1,eng1
kimchi,solid,solidity,0.7142857142857143,eng1
kimchi,count,count_mass,0.125,eng1
kimchi,shape,category_organization,0.125,eng1
kitchen,solid,solidity,0.8,eng1
kitchen,shape,category_organization,0.16666666666666666,eng1
kitchen,count,count_mass,0.5833333333333334,eng1
knee,solid,solidity,1,eng1
knee,shape,category_organization,0.3,eng1
knee,count,count_mass,0.8,eng1
knife,shape,category_organization,0.4,eng1
knife,count,count_mass,0.8333333333333334,eng1
knife,solid,solidity,1,eng1
ladder,count,count_mass,0.8,eng1
ladder,shape,category_organization,0.75,eng1
ladder,solid,solidity,1,eng1
leg,shape,category_organization,0.75,eng1
leg,count,count_mass,1,eng1
leg,solid,solidity,0.8333333333333334,eng1
lion,shape,category_organization,0.3333333333333333,eng1
lion,count,count_mass,1,eng1
lion,solid,solidity,0.9230769230769232,eng1
lip,solid,solidity,0.5714285714285714,eng1
lip,shape,category_organization,0.4444444444444444,eng1
lip,count,count_mass,1,eng1
meat,count,count_mass,0.14285714285714285,eng1
meat,solid,solidity,0.7142857142857143,eng1
medicine,count,count_mass,0.16666666666666666,eng1
medicine,solid,solidity,0.2857142857142857,eng1
melon,solid,solidity,0.8571428571428571,eng1
melon,shape,category_organization,0.2727272727272727,eng1
melon,count,count_mass,0.6666666666666666,eng1
microwave,solid,solidity,1,eng1
microwave,shape,category_organization,0.4,eng1
microwave,count,count_mass,0.625,eng1
money,solid,solidity,0.8,eng1
money,count,count_mass,0.5714285714285714,eng1
monkey,count,count_mass,0.8333333333333334,eng1
monkey,shape,category_organization,0.18181818181818185,eng1
monkey,solid,solidity,1,eng1
moon,shape,category_organization,0.7777777777777778,eng1
moon,count,count_mass,0.7142857142857143,eng1
moon,solid,solidity,1,eng1
motorcycle,shape,category_organization,0.5384615384615384,eng1
motorcycle,solid,solidity,1,eng1
motorcycle,count,count_mass,0.8571428571428571,eng1
mouse,shape,category_organization,0.5,eng1
mouse,count,count_mass,0.8571428571428571,eng1
mouse,solid,solidity,0.875,eng1
mouth,shape,category_organization,0.6666666666666666,eng1
mouth,count,count_mass,0.6,eng1
nail (object),count,count_mass,0.75,eng1
nail (object),shape,category_organization,0.4444444444444444,eng1
nail (object),solid,solidity,1,eng1
neck,solid,solidity,0.6,eng1
neck,shape,category_organization,0.5555555555555556,eng1
neck,count,count_mass,0.4,eng1
necklace,shape,category_organization,0.5,eng1
necklace,count,count_mass,0.8333333333333334,eng1
necklace,solid,solidity,1,eng1
noodles,solid,solidity,1,eng1
noodles,shape,category_organization,0.6666666666666666,eng1
noodles,count,count_mass,0.3333333333333333,eng1
nut,solid,solidity,1,eng1
nut,shape,category_organization,0.3333333333333333,eng1
nut,count,count_mass,0.6666666666666666,eng1
