uni_lemma,english_s1,english_s2,korean_s1,korean_s2,language,lexical_category,category,freq,concreteness,intercept,slope,aoa,logfreq
drawer,0.6,0.5,0.75,0.7241379310344828,Korean,nouns,furniture_rooms,-1.0179379430231297,0.5391561417228768,-8.59075860961157,0.2997057050646749,28.663980913402128,-1.0179379430231297
dress (object),0.21428571428571427,0.1,0.6666666666666666,0.6206896551724138,Korean,nouns,clothing,0.7503318216230528,0.7957254284672582,-6.900280786597713,0.2998765033753535,23.01040831452098,0.7503318216230528
ear,0.4444444444444444,0.35294117647058826,0.2,0.8275862068965517,Korean,nouns,body_parts,0.4800763930212602,0.8648017748984381,-6.202981656038428,0.30007210852874683,20.67163684906151,0.4800763930212602
eye,0.6666666666666666,0.625,0.2222222222222222,0.6896551724137931,Korean,nouns,body_parts,1.0124256292209728,0.7661212799967533,-5.89086767310661,0.30009126897152527,19.630253466873025,1.0124256292209728
eye,0.6666666666666666,0.625,0.2222222222222222,0.3793103448275862,Korean,nouns,body_parts,1.0124256292209728,0.7661212799967533,-5.89086767310661,0.30009126897152527,19.630253466873025,1.0124256292209728
face,0.5,0.5,0.8,0.7931034482758621,Korean,nouns,body_parts,0.5428564677267165,0.7365171315262474,-7.21621807147035,0.29997907355382236,24.05573824193978,0.5428564677267165
finger,0.3404255319148936,0.38461538461538464,0.8333333333333334,0.7931034482758621,Korean,nouns,body_parts,-0.18421677609650824,0.8648017748984381,-7.734298168415276,0.29976320559315356,25.80135928661127,-0.18421677609650824
fingernail,0.375,0.16666666666666666,0.6666666666666666,0.6896551724137931,Korean,nouns,body_parts,-0.4091958845512632,0.7957254284672582,-8.420864304379203,0.29952526673400026,28.114036575944457,-0.4091958845512632
fish (animal),0.2,0.4444444444444444,1,0.3275862068965517,Korean,nouns,animals,0.6688292079848479,0.8648017748984381,-6.931163054017179,0.29999356934887295,23.104372100578892,0.6688292079848479
foot,0.5454545454545454,0.5,0.3333333333333333,0.8620689655172413,Korean,nouns,body_parts,0.989953148888034,0.7661212799967533,-6.097713473905176,0.30000122495705517,20.325628586276796,0.989953148888034
fork,0.8,0.7,1,0.7241379310344828,Korean,nouns,household,-0.32496856728687107,0.7661212799967533,-7.1328220240528815,0.2997130025789047,23.79884076659317,-0.32496856728687107
frog,0.4,0.16666666666666666,0.5,0.5517241379310345,Korean,nouns,animals,1.0060861998934674,0.8648017748984381,-7.456632906288633,0.299990363895758,24.856241412073143,1.0060861998934674
fruit,0.1111111111111111,0.15384615384615383,0.18181818181818185,0.41379310344827586,Korean,nouns,food_drink,0.38528320209707745,0.6773088345852358,-7.982675562927962,0.29958789751404036,26.645520827669113,0.38528320209707745
giraffe,0.25,0.125,0.4,0.6206896551724138,Korean,nouns,animals,0.796393733315005,0.5983644386638884,-7.264160757773366,0.2999195886293557,24.22036116737445,0.796393733315005
glasses,0.3636363636363637,0.3636363636363637,0.7777777777777778,0.6551724137931034,Korean,nouns,household,-0.00275615690107872,0.7661212799967533,-7.126741287544422,0.29992104256737256,23.76205826219583,-0.00275615690107872
glove,0.6,0.8333333333333334,0.8333333333333334,0.6551724137931034,Korean,nouns,clothing,-0.580722945557285,0.8351976264279324,-7.705962157966894,0.30001612035335035,25.6851603470208,-0.580722945557285
goat,0.2,0.25,0.25,0.7241379310344828,Korean,nouns,animals,-0.08698347416547084,0.8648017748984381,-5.715765776284852,0.2009772808197361,28.439860231821587,-0.08698347416547084
grapes,0.16666666666666666,0.1111111111111111,0.6666666666666666,0.4482758620689655,Korean,nouns,food_drink,0.08540119119923828,0.8648017748984381,-6.836791336631345,0.30002865590978117,22.787127835839694,0.08540119119923828
gun,0.3076923076923077,0.1,0.6666666666666666,0.5517241379310345,Korean,nouns,toys,-0.2506748082118866,0.6970449335655733,-8.402239949118199,0.29969887910549253,28.03560685377356,-0.2506748082118866
hamburger,0.1111111111111111,0.3,0.125,0.5172413793103449,Korean,nouns,food_drink,-0.8771861518327679,0.8648017748984381,-8.762813238811807,0.3000126973255481,29.208141245112547,-0.8771861518327679
hammer,0.8333333333333334,0.3636363636363637,0.5,0.7241379310344828,Korean,nouns,household,-0.5064291864823017,0.6378366366245617,-9.484459701011112,0.299613937217153,31.65560250335418,-0.5064291864823017
hand,0.7,0.25,0.6,0.8275862068965517,Korean,nouns,body_parts,1.2336087307808496,0.5884963891737193,-6.225719028707949,0.29996424513786335,20.75487038745772,1.2336087307808496
hat,0.6,0.4615384615384616,0.7777777777777778,0.6206896551724138,Korean,nouns,clothing,1.1631898196618602,0.7463851810164157,-6.432915904155008,0.2999981802493096,21.443183084674104,1.1631898196618602
head,0.3333333333333333,0.5882352941176471,0.5,0.8275862068965517,Korean,nouns,body_parts,0.8637395458846728,0.6181005376442251,-6.454012999786751,0.29998891568695596,21.51417156533088,0.8637395458846728
helicopter,0.5,0.4615384615384616,0.5714285714285714,0.6428571428571429,Korean,nouns,vehicles,-0.6214317735623528,0.4898158942720344,-8.350437766362813,0.2996538138221155,27.866949730597828,-0.6214317735623528
