theword,block,response,totcount,eng_response,proportion
얼굴,count_mass,셀 수 있다,3,countable,1
얼굴,count_mass,셀 수 있다,3,countable,1
얼굴,solidity,고형물,4,solid,1
얼굴,solidity,고형물,4,solid,1
얼굴,solidity,고형물,4,solid,1
얼굴,solidity,고형물,4,solid,1
얼음,category_organization,물질,3,substance,1
얼음,category_organization,물질,3,substance,1
얼음,category_organization,물질,3,substance,1
얼음,count_mass,셀 수 없다,3,uncountable,0.3333333333333333
얼음,count_mass,잘 모르겠다/구분이 어렵다,3,not sure,0.6666666666666666
얼음,count_mass,잘 모르겠다/구분이 어렵다,3,not sure,0.6666666666666666
얼음,solidity,고형물,1,solid,1
엉덩이,category_organization,물질,3,substance,0.3333333333333333
엉덩이,category_organization,형태,3,form,0.6666666666666666
엉덩이,category_organization,형태,3,form,0.6666666666666666
엉덩이,count_mass,셀 수 있다,3,countable,0.6666666666666666
엉덩이,count_mass,셀 수 있다,3,countable,0.6666666666666666
엉덩이,count_mass,잘 모르겠다/구분이 어렵다,3,not sure,0.3333333333333333
엉덩이,solidity,고형물,1,solid,1
여우,category_organization,물질,3,substance,0.3333333333333333
여우,category_organization,해당 사항 없음,3,not applicable,0.3333333333333333
여우,category_organization,형태,3,form,0.3333333333333333
여우,count_mass,셀 수 있다,2,countable,1
여우,count_mass,셀 수 있다,2,countable,1
여우,solidity,고형물,2,solid,1
여우,solidity,고형물,2,solid,1
연필,count_mass,셀 수 있다,1,countable,1
연필,solidity,고형물,3,solid,1
연필,solidity,고형물,3,solid,1
연필,solidity,고형물,3,solid,1
열쇠,category_organization,형태,2,form,1
열쇠,category_organization,형태,2,form,1
열쇠,solidity,고형물,2,solid,1
열쇠,solidity,고형물,2,solid,1
염소,category_organization,물질,1,substance,1
염소,count_mass,셀 수 있다,1,countable,1
염소,solidity,고형물,2,solid,0.5
염소,solidity,비고형물,2,non-solid,0.5
오렌지,category_organization,색상,2,color,0.5
오렌지,category_organization,해당 사항 없음,2,not applicable,0.5
오렌지,count_mass,셀 수 있다,3,countable,1
오렌지,count_mass,셀 수 있다,3,countable,1
오렌지,count_mass,셀 수 있다,3,countable,1
오렌지,solidity,고형물,1,solid,1
오리,category_organization,해당 사항 없음,2,not applicable,1
오리,category_organization,해당 사항 없음,2,not applicable,1
오리,solidity,고형물,2,solid,1
오리,solidity,고형물,2,solid,1
오토바이,category_organization,색상,3,color,0.3333333333333333
오토바이,category_organization,형태,3,form,0.6666666666666666
오토바이,category_organization,형태,3,form,0.6666666666666666
오토바이,count_mass,셀 수 있다,1,countable,1
오토바이,solidity,고형물,1,solid,1
옥수수,count_mass,셀 수 있다,1,countable,1
옥수수,solidity,고형물,2,solid,1
옥수수,solidity,고형물,2,solid,1
옷/꼬까,category_organization,색상,1,color,1
옷/꼬까,count_mass,셀 수 있다,2,countable,1
옷/꼬까,count_mass,셀 수 있다,2,countable,1
옷/꼬까,solidity,고형물,2,solid,1
옷/꼬까,solidity,고형물,2,solid,1
옷걸이,count_mass,셀 수 있다,2,countable,1
옷걸이,count_mass,셀 수 있다,2,countable,1
옷걸이,solidity,고형물,1,solid,1
옷장,category_organization,형태,2,form,1
옷장,category_organization,형태,2,form,1
옷장,count_mass,셀 수 있다,3,countable,1
옷장,count_mass,셀 수 있다,3,countable,1
옷장,count_mass,셀 수 있다,3,countable,1
옷장,solidity,고형물,4,solid,1
옷장,solidity,고형물,4,solid,1
옷장,solidity,고형물,4,solid,1
옷장,solidity,고형물,4,solid,1
요구르트,category_organization,물질,1,substance,1
요구르트,solidity,비고형물,2,non-solid,1
요구르트,solidity,비고형물,2,non-solid,1
우산,category_organization,해당 사항 없음,1,not applicable,1
우산,count_mass,셀 수 있다,1,countable,1
우산,solidity,고형물,2,solid,1
우산,solidity,고형물,2,solid,1
운동화,count_mass,셀 수 있다,2,countable,1
운동화,count_mass,셀 수 있다,2,countable,1
운동화,solidity,고형물,2,solid,1
운동화,solidity,고형물,2,solid,1
원숭이,category_organization,물질,4,substance,0.25
원숭이,category_organization,해당 사항 없음,4,not applicable,0.25
원숭이,category_organization,형태,4,form,0.5
원숭이,category_organization,형태,4,form,0.5
원숭이,count_mass,셀 수 있다,2,countable,1
원숭이,count_mass,셀 수 있다,2,countable,1
원숭이,solidity,고형물,3,solid,0.6666666666666666
원숭이,solidity,고형물,3,solid,0.6666666666666666
원숭이,solidity,해당 사항 없음,3,not applicable,0.3333333333333333
유리,category_organization,물질,2,substance,1
유리,category_organization,물질,2,substance,1
유리,count_mass,셀 수 없다,1,uncountable,1
유리,solidity,고형물,2,solid,1
유리,solidity,고형물,2,solid,1
유모차,category_organization,형태,4,form,1
유모차,category_organization,형태,4,form,1
유모차,category_organization,형태,4,form,1
